Resume ID,Resume Text,Education,Experience Years,Skills,Job Role,Category
r000000,"Education: Bachelor's in Computer Science Experience: 2 years Skills: Market Research, Maven, Java, REST API, Spring Boot, Microservices, Statistics, SQL",bachelor's in computer science,2,market research|maven|java|rest api|spring boot|microservices|statistics|sql,java backend developer,technology
r000001,"Education: Master's in Microbiology Experience: 3 years Skills: Agile, Data Analysis, Precision, Problem Solving, Scala, Research, Business Development, Microbiology",master's in microbiology,3,agile|data analysis|precision|problem solving|scala|research|business development|microbiology|laboratory work,microbiologist,science & research
r000002,"Education: Apprenticeship Experience: 2 years Skills: React, Customer Service, Technical Knowledge, Plumbing Systems, Problem Solving, PostgreSQL, Code Knowledge, Creativity",apprenticeship,2,react|customer service|technical knowledge|plumbing systems|problem solving|postgresql|code knowledge|creativity|safety|ios,plumber,skilled trades
r000003,"Education: Bachelor's in Computer Science Experience: 0 years Skills: MySQL, Query Optimization, Symfony, Terraform, PHP, HTML/CSS, API Development, Financial Analysis",bachelor's in computer science,0,mysql|query optimization|symfony|terraform|php|html/css|api development|financial analysis|web accessibility|laravel|c++,php developer,technology
r000004,"Education: Bachelor's in Design Experience: 3 years Skills: Problem Solving, Docker, Creativity, Scrum, Ansible, Communication, Team Leadership, Design Principles",bachelor's in design,3,problem solving|docker|creativity|scrum|ansible|communication|team leadership|design principles|artistic direction|visual communication,art director,creative & design
r000005,"Education: Administrative Certification Experience: 2 years Skills: CI/CD, Problem Solving, Database Design, PyTorch, Deep Learning, Communication, Executive Support, Discretion",administrative certification,2,ci/cd|problem solving|database design|pytorch|deep learning|communication|executive support|discretion|organization|leadership support|creativity,executive assistant,administration
r000006,"Education: Bachelor's in Computer Science Experience: 3 years Skills: Distributed Systems, CQL, Cassandra, Performance, NoSQL, Scalability, Business Development, Machine Learning",bachelor's in computer science,3,distributed systems|cql|cassandra|performance|nosql|scalability|business development|machine learning,cassandra developer,technology
r000007,"Education: Bachelor's in IT Experience: 1 years Skills: Performance Tuning, SQL, ETL, Data Integration, JavaScript, Scikit-learn, Kanban, Web Accessibility",bachelor's in it,1,performance tuning|sql|etl|data integration|javascript|scikit-learn|kanban|web accessibility|gcp|informatica|data quality,informatica developer,data & analytics
r000008,"Education: PT License Experience: 4 years Skills: Communication, Swift, Anatomy Knowledge, Exercise Prescription, Physical Therapy, Patient Assessment, Compassion, PHP",pt license,4,communication|swift|anatomy knowledge|exercise prescription|physical therapy|patient assessment|compassion|php|strategic planning,physical therapist,healthcare
r000009,"Education: Bachelor's in Computer Science Experience: 5 years Skills: PostgreSQL, Distributed Systems, Kanban, Phoenix Framework, Functional Programming, Compliance, Elixir, Erlang",bachelor's in computer science,5,postgresql|distributed systems|kanban|phoenix framework|functional programming|compliance|elixir|erlang|problem solving,elixir developer,technology
r000010,"Education: Master's in Computer Science Experience: 6 years Skills: Statistics, Research, Deep Learning, Shell Scripting, Python, TensorFlow, PyTorch, Network Security",master's in computer science,6,statistics|research|deep learning|shell scripting|python|tensorflow|pytorch|network security,machine learning engineer,technology
r000011,"Education: Associate in Broadcast Technology Experience: 1 years Skills: Technical Knowledge, Safety, Jenkins, Attention to Detail, Equipment Operation, Graphic Design, Troubleshooting, Problem Solving",associate in broadcast technology,1,technical knowledge|safety|jenkins|attention to detail|equipment operation|graphic design|troubleshooting|problem solving|swift|broadcasting,broadcast technician,entertainment & media
r000012,"Education: Bachelor's in Environmental Science Experience: 4 years Skills: Problem Solving, Web Accessibility, Communication, Environmental Knowledge, Conservation, React Native, Swift, R",bachelor's in environmental science,4,problem solving|web accessibility|communication|environmental knowledge|conservation|react native|swift|r|safety|law enforcement|microservices,conservation officer,conservation
r000013,"Education: Bachelor's in Computer Science Experience: 4 years Skills: Problem Solving, Clojure, LispyScript, Concurrency, Functional Programming, Java Interop, Node.js, Presentation Skills",bachelor's in computer science,4,problem solving|clojure|lispyscript|concurrency|functional programming|java interop|node.js|presentation skills,clojure developer,technology
r000014,"Education: Bachelor's in Computer Science Experience: 3 years Skills: Account Management, Problem Solving, Client Relations, Python, Communication, Business Acumen, Technical Knowledge, Product Knowledge",bachelor's in computer science,3,account management|problem solving|client relations|python|communication|business acumen|technical knowledge|product knowledge,technical account manager,technology
r000015,"Education: IT Certification Experience: 3 years Skills: Creativity, Scala, Tableau, Technical Expertise, System Design, IT Knowledge, Communication, Problem Solving",it certification,3,creativity|scala|tableau|technical expertise|system design|it knowledge|communication|problem solving|project management,it consultant,consulting
r000016,"Education: Bachelor's in Computer Science Experience: 3 years Skills: NoSQL, Scalability, Performance, Cassandra, Distributed Systems, CQL, Perl, Strategic Planning",bachelor's in computer science,3,nosql|scalability|performance|cassandra|distributed systems|cql|perl|strategic planning|technical writing|penetration testing,cassandra developer,technology
r000017,"Education: Engineering License Experience: 5 years Skills: Adobe Creative Suite, Electrical Systems, Management, Safety, Problem Solving, iOS, Financial Analysis, Project Management",engineering license,5,adobe creative suite|electrical systems|management|safety|problem solving|ios|financial analysis|project management|leadership|pytorch|regulatory knowledge,electrical utilities manager,energy & utilities
r000018,"Education: Beauty School Experience: 2 years Skills: AWS, Nail Care, Jenkins, Artistry, Sanitation, Customer Service, Precision, Communication",beauty school,2,aws|nail care|jenkins|artistry|sanitation|customer service|precision|communication|business acumen,nail technician,beauty & wellness
r000019,"Education: Experience Experience: 1 years Skills: Business Skills, Health Knowledge, Leadership, Responsive Design, Equipment, Problem Solving, Livestock Care, PostgreSQL",experience,1,business skills|health knowledge|leadership|responsive design|equipment|problem solving|livestock care|postgresql|network security,livestock manager,agriculture
r000020,"Education: Bachelor's in Statistics Experience: 3 years Skills: Problem Solving, Data Management, Django, Visualization, Serverless, SAS, SQL, Statistical Analysis",bachelor's in statistics,3,problem solving|data management|django|visualization|serverless|sas|sql|statistical analysis,sas programmer,data & analytics
r000021,"Education: Bachelor's in 3D Art Experience: 2 years Skills: Creativity, App Testing, Software Skills, Rendering, HTML, Texturing, 3D Modeling, Adobe Creative Suite",bachelor's in 3d art,2,creativity|app testing|software skills|rendering|html|texturing|3d modeling|adobe creative suite|problem solving,3d artist,creative & design
r000022,"Education: Esthetics School Experience: 4 years Skills: Deep Learning, Technical Skills, Facial Treatment, Skincare, Communication, Business Development, MySQL, Customer Service",esthetics school,4,deep learning|technical skills|facial treatment|skincare|communication|business development|mysql|customer service|react native|product knowledge,esthetician,beauty & wellness
r000023,"Education: Bachelor's in Computer Science Experience: 3 years Skills: SQL, Analytics, React, dbt, Cloud Platforms, Documentation, Pandas, Creativity",bachelor's in computer science,3,sql|analytics|react|dbt|cloud platforms|documentation|pandas|creativity|mongodb|data modeling|python,analytics engineer,data & analytics
r000024,"Education: Bachelor's in IT Experience: 3 years Skills: Informatica, Performance Tuning, SQL, React, GCP, Data Integration, ETL, Data Quality",bachelor's in it,3,informatica|performance tuning|sql|react|gcp|data integration|etl|data quality|wireframing,informatica developer,data & analytics
r000025,"Education: Bachelor's in Statistics Experience: 0 years Skills: Terraform, SQL, Python, Excel, MongoDB, Statistical Analysis, Data Visualization, REST API",bachelor's in statistics,0,terraform|sql|python|excel|mongodb|statistical analysis|data visualization|rest api|tableau|html|project management,data analyst,data & analytics
r000026,"Education: Doctor of Pharmacy Experience: 4 years Skills: Patient Counseling, Attention to Detail, Microservices, Firewalls, Pharmacy Knowledge, Communication, MySQL, Drug Interactions",doctor of pharmacy,4,patient counseling|attention to detail|microservices|firewalls|pharmacy knowledge|communication|mysql|drug interactions|accuracy,pharmacist,healthcare
r000027,"Education: Bachelor's in Computer Science Experience: 5 years Skills: API Development, Go, PyTorch, Concurrency, Scrum, Swift, Problem Solving, Responsive Design",bachelor's in computer science,5,api development|go|pytorch|concurrency|scrum|swift|problem solving|responsive design|web accessibility|docker|microservices,go developer,technology
r000028,"Education: Bachelor's in Environmental Science Experience: 3 years Skills: Conservation, Problem Solving, User Experience, Environmental Knowledge, Safety, Law Enforcement, Creativity, Penetration Testing",bachelor's in environmental science,3,conservation|problem solving|user experience|environmental knowledge|safety|law enforcement|creativity|penetration testing|node.js|communication|budget management,conservation officer,conservation
r000029,"Education: Master's in Business Experience: 8 years Skills: User Experience, Department Management, Leadership, GCP, Decision Making, Strategic Planning, Budget Control, GraphQL",master's in business,8,user experience|department management|leadership|gcp|decision making|strategic planning|budget control|graphql|database design|communication,director,private sector management
r000030,"Education: Bachelor's in Production Experience: 2 years Skills: Technical Knowledge, Communication, Problem Solving, Creativity, Leadership, Negotiation, Production Management, Angular",bachelor's in production,2,technical knowledge|communication|problem solving|creativity|leadership|negotiation|production management|angular,producer,entertainment & media
r000031,"Education: Bachelor's in Game Development Experience: 2 years Skills: Game Physics, C++, SQL, Penetration Testing, App Testing, Graphics Programming, Unreal Engine, Unity",bachelor's in game development,2,game physics|c++|sql|penetration testing|app testing|graphics programming|unreal engine|unity|time management|html|c#,game developer,technology
r000032,"Education: Bachelor's in Geology Experience: 3 years Skills: Research, Analysis, Technical Knowledge, TensorFlow, Negotiation, Field Work, HTML, Geology",bachelor's in geology,3,research|analysis|technical knowledge|tensorflow|negotiation|field work|html|geology|problem solving,geologist,science & research
r000033,"Education: Teaching Credential Experience: 1 years Skills: Patience, Figma, Instruction, HTML, Classroom Management, Market Research, Communication, Curriculum Development",teaching credential,1,patience|figma|instruction|html|classroom management|market research|communication|curriculum development|student assessment,teacher,education & training
r000034,"Education: Bachelor's in Journalism Experience: 1 years Skills: Business Acumen, Android, Attention to Detail, Documentation, Technical Writing, Content Editing, Communication, Organization",bachelor's in journalism,1,business acumen|android|attention to detail|documentation|technical writing|content editing|communication|organization|writing|management,editor,entertainment & media
r000035,"Education: Bachelor's in Engineering Experience: 3 years Skills: Communication, Customer Relations, Sales, Product Knowledge, Technical Problem Solving, Presentation, Solution Design, Adaptability",bachelor's in engineering,3,communication|customer relations|sales|product knowledge|technical problem solving|presentation|solution design|adaptability|c#|seo,solutions engineer,technology
r000036,"Education: Bachelor's in Marketing Experience: 4 years Skills: Sales, Automation Platforms, Segmentation, Copywriting, A/B Testing, Analytics, Azure, Email Campaign Management",bachelor's in marketing,4,sales|automation platforms|segmentation|copywriting|a/b testing|analytics|azure|email campaign management,email marketing specialist,marketing & sales
r000037,"Education: Bachelor's in Operations Experience: 3 years Skills: Safety, PostgreSQL, Equipment Maintenance, Problem Solving, Communication, Staff Management, Production Planning, Quality Control",bachelor's in operations,3,safety|postgresql|equipment maintenance|problem solving|communication|staff management|production planning|quality control,production manager,operations & supply chain
r000038,"Education: Bachelor's in Computer Engineering Experience: 5 years Skills: Sensors, IoT Technology, System Design, P&L Management, Embedded Systems, CI/CD, MySQL, AWS",bachelor's in computer engineering,5,sensors|iot technology|system design|p&l management|embedded systems|ci/cd|mysql|aws|c/c++|networking|adaptability,iot engineer,technology
r000039,"Education: Master's in Business Experience: 9 years Skills: Operations Management, Business Operations, Leadership, SEO, Docker, Decision Making, Strategic Thinking, Communication",master's in business,9,operations management|business operations|leadership|seo|docker|decision making|strategic thinking|communication,coo,private sector management
r000040,"Education: Bachelor's in IT Experience: 3 years Skills: Database Design, SQL, Perl, Agile, Performance, ETL Tools, Problem Solving, Data Quality",bachelor's in it,3,database design|sql|perl|agile|performance|etl tools|problem solving|data quality|data integration,etl developer,data & analytics
r000041,"Education: IT Certification Experience: 5 years Skills: Ansible, Kubernetes, Graphic Design, Scikit-learn, Linux, Scripting, Docker, Documentation",it certification,5,ansible|kubernetes|graphic design|scikit-learn|linux|scripting|docker|documentation|aws|ci/cd|query optimization,devops engineer,technology
r000042,"Education: Master's in Counseling Experience: 3 years Skills: Ansible, Communication, Android, Active Listening, Empathy, Treatment Planning, Problem Solving, Counseling",master's in counseling,3,ansible|communication|android|active listening|empathy|treatment planning|problem solving|counseling|c++|postgresql|c#,counselor,human services & social work
r000043,"Education: Bachelor's in Business Experience: 1 years Skills: Responsive Design, Requirements Gathering, Process Improvement, Excel, Web Accessibility, Documentation, Prototyping, Business Development",bachelor's in business,1,responsive design|requirements gathering|process improvement|excel|web accessibility|documentation|prototyping|business development|javascript|sql|stakeholder communication,business analyst,data & analytics
r000044,"Education: Master's in Relevant Field Experience: 2 years Skills: Analysis, Strategic Thinking, PyTorch, Sales, Mobile Security, Research, Communication, Writing",master's in relevant field,2,analysis|strategic thinking|pytorch|sales|mobile security|research|communication|writing|responsive design|policy expertise|kubernetes,policy advisor,government & public service
r000045,"Education: Massage Therapy School Experience: 2 years Skills: Problem Solving, Customer Service, Massage Therapy, Empathy, Penetration Testing, Flutter, Machine Learning, Communication",massage therapy school,2,problem solving|customer service|massage therapy|empathy|penetration testing|flutter|machine learning|communication|anatomy,massage therapist,beauty & wellness
r000046,"Education: Bachelor's in Environmental Science Experience: 3 years Skills: CI/CD, Problem Solving, Public Safety, Outdoor Skills, React Native, Conservation, Communication, Environmental Knowledge",bachelor's in environmental science,3,ci/cd|problem solving|public safety|outdoor skills|react native|conservation|communication|environmental knowledge|css,park ranger,conservation
r000047,"Education: Bachelor's in Botany Experience: 4 years Skills: User Experience, Problem Solving, Project Management, Microservices, Communication, Field Work, Plant Science, Flutter",bachelor's in botany,4,user experience|problem solving|project management|microservices|communication|field work|plant science|flutter|data analysis|research,botanist,science & research
r000048,"Education: Bachelor's in Statistics Experience: 2 years Skills: Figma, Excel, Statistical Analysis, Tableau, SQL, Confluence, Data Visualization, Python",bachelor's in statistics,2,figma|excel|statistical analysis|tableau|sql|confluence|data visualization|python|app testing,data analyst,data & analytics
r000049,"Education: Bachelor's in Computer Science Experience: 4 years Skills: Problem Solving, Client Relations, Adobe Creative Suite, PyTorch, Communication, Product Knowledge, Jenkins, Account Management",bachelor's in computer science,4,problem solving|client relations|adobe creative suite|pytorch|communication|product knowledge|jenkins|account management|technical knowledge,technical account manager,technology
