Job Title,Category,Education Requirement,Experience Years,Required Skills,Salary Range
software engineer,technology,bachelor's in computer science|bachelor's in engineering,2,python|java|c++|git|software design|problem solving,80-150k
full stack developer,technology,diploma in it|bachelor's in computer science,2,javascript|react|node.js|html/css|database|git,75-140k
frontend developer,technology,diploma in it|bachelor's in computer science,1,javascript|react|vue.js|css|html|ui/ux design,70-130k
backend developer,technology,bachelor's in computer science,2,python|java|node.js|database design|api development|sql,75-135k
devops engineer,technology,bachelor's in computer science|it certification,3,docker|kubernetes|aws|linux|ci/cd|scripting,85-150k
cloud architect,technology,bachelor's in computer science|cloud certification,5,aws|azure|gcp|system design|networking|security,120-200k
data scientist,technology,master's in data science|bachelor's in mathematics,2,python|machine learning|statistics|tensorflow|sql|data analysis,90-160k
machine learning engineer,technology,master's in computer science|master's in ai,3,python|tensorflow|pytorch|deep learning|statistics|research,100-180k
data engineer,technology,bachelor's in computer science,2,python|spark|hadoop|sql|data warehousing|etl,85-155k
database administrator,technology,bachelor's in it|it certification,2,sql|mongodb|database optimization|linux|backup recovery|security,70-130k
systems administrator,technology,bachelor's in it|it certification,2,windows server|linux|networking|security|active directory|troubleshooting,65-125k
network engineer,technology,bachelor's in it|networking certification,2,cisco|networking|tcp/ip|security|routing|configuration,70-130k
cybersecurity specialist,technology,bachelor's in cybersecurity|security certification,3,penetration testing|security protocols|networking|risk analysis|encryption|firewalls,85-150k
security engineer,technology,bachelor's in computer science|security certification,3,security architecture|encryption|networking|linux|risk management|compliance,90-160k
mobile developer android,technology,bachelor's in computer science,2,java|kotlin|android sdk|xml|rest api|mobile design,70-130k
mobile developer ios,technology,bachelor's in computer science,2,swift|objective-c|ios sdk|xcode|rest api|mobile design,75-135k
game developer,technology,bachelor's in game development|bachelor's in computer science,2,unity|unreal engine|c#|c++|game physics|graphics programming,65-130k
qa engineer,technology,bachelor's in it|qa certification,1,test automation|selenium|manual testing|bug tracking|sql|api testing,50-100k
software architect,technology,master's in computer science,7,system design|architecture patterns|microservices|scalability|leadership|multiple languages,130-200k
technical lead,technology,bachelor's in computer science,5,leadership|code review|mentoring|architecture|problem solving|communication,100-170k
data analyst,data & analytics,bachelor's in mathematics|bachelor's in statistics,1,sql|python|excel|tableau|data visualization|statistical analysis,60-110k
business analyst,data & analytics,bachelor's in business|bachelor's in computer science,2,requirements gathering|sql|excel|process improvement|documentation|stakeholder communication,65-120k
bi developer,data & analytics,bachelor's in it|bachelor's in statistics,2,power bi|tableau|sql|etl|database design|data visualization,70-130k
bi analyst,data & analytics,bachelor's in business|bachelor's in it,1,sql|tableau|power bi|excel|data analysis|reporting,60-110k
analytics engineer,data & analytics,bachelor's in engineering|bachelor's in computer science,2,sql|python|dbt|data modeling|analytics|cloud platforms,75-135k
accountant,finance & accounting,bachelor's in accounting|cpa or equivalent,1,accounting principles|quickbooks|excel|financial analysis|tax knowledge|gaap,55-100k
financial analyst,finance & accounting,bachelor's in finance|bachelor's in economics,1,financial modeling|excel|python|statistics|valuation|risk analysis,65-120k
investment banking analyst,finance & accounting,master's in finance|bachelor's in finance,2,financial modeling|valuation|excel|research|communication|m&a,100-200k
audit manager,finance & accounting,bachelor's in accounting|cpa,5,audit procedures|internal controls|risk assessment|leadership|compliance|communication,90-150k
tax specialist,finance & accounting,bachelor's in accounting|cpa or tax certification,2,tax law|tax planning|accounting|irs knowledge|software|compliance,65-120k
controller,finance & accounting,master's in finance|cpa,7,leadership|financial reporting|accounting|fp&a|risk management|strategy,120-200k
cfo,finance & accounting,master's in finance|mba,10,strategic leadership|financial strategy|risk management|board communication|m&a|investor relations,150-350k
budget analyst,finance & accounting,bachelor's in finance|bachelor's in accounting,1,budget planning|forecasting|excel|financial analysis|communication|attention to detail,55-100k
hr manager,human resources,bachelor's in hr|bachelor's in business,3,recruitment|employee relations|compensation|compliance|leadership|communication,65-120k
talent acquisition specialist,human resources,bachelor's in hr|bachelor's in business,1,recruitment|networking|interviewing|job posting|ats systems|communication,50-90k
hr business partner,human resources,bachelor's in hr|master's in business,4,strategic hr|business acumen|employee relations|coaching|data analysis|leadership,75-130k
training specialist,human resources,bachelor's in hr|bachelor's in education,1,training program development|presentation|elearning|assessment|communication|instructional design,55-95k
learning & development manager,human resources,master's in education|bachelor's in hr,4,curriculum development|leadership|training design|e-learning|coaching|project management,70-125k
compensation & benefits manager,human resources,bachelor's in hr|bachelor's in finance,3,compensation strategy|benefits administration|excel|market analysis|compliance|communication,70-125k
hr operations manager,human resources,bachelor's in hr|bachelor's in business,3,hr systems|process management|compliance|data analysis|leadership|problem solving,65-115k
chief people officer,human resources,master's in business|mba,10,strategic leadership|organizational development|culture building|change management|executive communication|vision setting,130-250k
marketing manager,marketing & sales,bachelor's in marketing|bachelor's in business,3,campaign management|brand strategy|analytics|budget management|leadership|communication,65-120k
digital marketing manager,marketing & sales,bachelor's in marketing|digital marketing certification,2,seo|sem|social media|analytics|content strategy|email marketing,60-110k
seo specialist,marketing & sales,bachelor's in marketing|seo certification,1,seo|keyword research|technical seo|analytics|content optimization|backlink strategy,50-90k
content marketing manager,marketing & sales,bachelor's in marketing|bachelor's in communications,2,content strategy|writing|seo|analytics|project management|research,55-100k
social media manager,marketing & sales,bachelor's in marketing|bachelor's in communications,1,social media strategy|content creation|community management|analytics|copywriting|platform knowledge,45-85k
email marketing specialist,marketing & sales,bachelor's in marketing,1,email campaign management|segmentation|a/b testing|analytics|copywriting|automation platforms,50-90k
product manager,marketing & sales,bachelor's in business|master's in business,3,product strategy|market analysis|user research|data analysis|leadership|communication,90-160k
product marketing manager,marketing & sales,bachelor's in marketing|bachelor's in business,2,product strategy|market research|positioning|messaging|campaign management|analytics,75-130k
sales manager,marketing & sales,bachelor's in business|bachelor's in sales,3,sales strategy|team leadership|crm|negotiation|target setting|communication,70-130k
sales executive,marketing & sales,bachelor's in business|bachelor's in marketing,1,selling|negotiation|client relationships|crm|product knowledge|communication,50-100k
account executive,marketing & sales,bachelor's in business|bachelor's in communications,1,account management|sales|relationship building|crm|negotiation|product knowledge,55-105k
business development manager,marketing & sales,bachelor's in business|master's in business,3,business development strategy|networking|sales|negotiation|market analysis|communication,70-130k
marketing director,marketing & sales,master's in marketing|mba,7,strategic marketing|leadership|budget management|brand strategy|analytics|team management,110-190k
chief marketing officer,marketing & sales,mba|master's in marketing,10,strategic leadership|brand vision|executive communication|p&l management|market strategy|team leadership,150-300k
cmo,marketing & sales,mba,10,strategic leadership|brand management|executive communication|market intelligence|digital transformation|vision,150-300k
operations manager,operations & supply chain,bachelor's in operations management|bachelor's in business,3,process management|efficiency optimization|leadership|quality control|project management|data analysis,65-120k
supply chain manager,operations & supply chain,bachelor's in supply chain management|bachelor's in logistics,3,supply chain strategy|procurement|vendor management|forecasting|inventory management|analytics,70-130k
logistics manager,operations & supply chain,bachelor's in logistics|bachelor's in business,2,logistics planning|distribution|fleet management|cost optimization|supplier management|software,60-115k
warehouse manager,operations & supply chain,bachelor's in logistics|high school with experience,2,warehouse management|inventory control|staff management|safety|organization|problem solving,55-95k
quality assurance manager,operations & supply chain,bachelor's in engineering|quality certification,3,quality management|process improvement|statistical analysis|compliance|leadership|problem solving,65-120k
process improvement manager,operations & supply chain,bachelor's in engineering|bachelor's in business,3,lean manufacturing|six sigma|process analysis|data analysis|leadership|change management,68-125k
procurement manager,operations & supply chain,bachelor's in business|bachelor's in supply chain,3,procurement strategy|vendor management|negotiation|cost analysis|compliance|strategic sourcing,70-130k
demand planner,operations & supply chain,bachelor's in operations|bachelor's in analytics,2,demand forecasting|statistical analysis|erp systems|supply planning|data analysis|excel,60-110k
production manager,operations & supply chain,bachelor's in engineering|bachelor's in operations,3,production planning|staff management|quality control|equipment maintenance|safety|problem solving,65-120k
mechanical engineer,engineering & manufacturing,bachelor's in mechanical engineering,1,cad|mechanical design|physics|thermodynamics|problem solving|technical documentation,65-125k
civil engineer,engineering & manufacturing,bachelor's in civil engineering,2,cad|project management|structural analysis|building codes|autocad|technical design,65-125k
electrical engineer,engineering & manufacturing,bachelor's in electrical engineering,2,circuit design|electrical systems|cad|power systems|troubleshooting|technical knowledge,70-130k
electronics engineer,engineering & manufacturing,bachelor's in electronics engineering,1,circuit design|embedded systems|microcontrollers|cad|hardware design|pcb design,65-120k
embedded systems engineer,engineering & manufacturing,bachelor's in electronics engineering|bachelor's in computer engineering,2,c/c++|embedded linux|hardware|microcontrollers|real-time systems|low-level programming,70-130k
chemical engineer,engineering & manufacturing,bachelor's in chemical engineering,2,chemical processes|safety|data analysis|thermochemistry|process design|laboratory skills,70-135k
manufacturing engineer,engineering & manufacturing,bachelor's in manufacturing engineering|bachelor's in mechanical engineering,2,process design|cad|production planning|quality control|problem solving|equipment knowledge,65-120k
automotive engineer,engineering & manufacturing,bachelor's in automotive engineering|bachelor's in mechanical engineering,2,cad|vehicle systems|thermal systems|materials|testing|problem solving,70-130k
aerospace engineer,engineering & manufacturing,bachelor's in aerospace engineering,2,cad|aerodynamics|structural analysis|matlab|physics|design,75-140k
environmental engineer,engineering & manufacturing,bachelor's in environmental engineering,2,environmental assessment|regulations|water systems|waste management|sustainability|analysis,65-125k
structural engineer,engineering & manufacturing,bachelor's in civil engineering,3,structural analysis|cad|building codes|materials|calculations|design,70-135k
project engineer,engineering & manufacturing,bachelor's in engineering,2,project management|technical knowledge|documentation|coordination|problem solving|communication,65-120k
project manager,construction & real estate,bachelor's in project management|bachelor's in business,3,project management|budget control|timeline management|team leadership|risk management|communication,70-130k
construction manager,construction & real estate,bachelor's in construction management,3,project management|construction knowledge|safety|budget control|contractor management|compliance,75-140k
real estate agent,construction & real estate,high school|real estate license,0,sales|customer service|marketing|negotiation|property knowledge|communication,40-100k
real estate broker,construction & real estate,bachelor's in business|broker license,5,sales leadership|real estate knowledge|negotiation|business development|team management|communication,75-180k
architect,construction & real estate,master's in architecture|architecture license,3,architectural design|cad|building codes|creativity|technical knowledge|client communication,75-140k
landscape architect,construction & real estate,bachelor's in landscape architecture,2,design|cad|horticulture|environmental knowledge|creativity|technical skills,60-120k
teacher,education & training,bachelor's in education|teaching credential,0,instruction|curriculum development|student assessment|communication|classroom management|patience,40-80k
college professor,education & training,master's or phd in subject area,3,research|teaching|publication|mentoring|subject matter expertise|communication,65-140k
training manager,education & training,bachelor's in education|training certification,3,program design|leadership|instruction|evaluation|curriculum development|communication,65-115k
instructional designer,education & training,bachelor's in education|master's in instructional design,2,course development|adult learning|technology|e-learning|assessment|creativity,60-110k
school principal,education & training,master's in education|administrative certificate,5,educational leadership|management|budgeting|staff management|community relations|vision,75-125k
academic advisor,education & training,bachelor's in education|bachelor's in counseling,1,academic planning|student support|counseling|communication|problem solving|organization,45-80k
nurse,healthcare,bachelor's in nursing|rn license,0,patient care|medical knowledge|communication|critical thinking|compassion|attention to detail,60-100k
registered nurse,healthcare,bachelor's in nursing|rn license,1,nursing care|patient monitoring|medical records|communication|critical thinking|clinical skills,65-110k
nursing manager,healthcare,master's in nursing|rn license,5,nursing leadership|staff management|patient safety|budget management|communication|clinical knowledge,85-140k
physician,healthcare,medical degree|license to practice,3,medical knowledge|diagnosis|treatment|patient communication|decision making|empathy,180-300k
surgeon,healthcare,medical degree|surgical specialty training|license,5,surgical expertise|precision|problem solving|patient care|research|technical skills,250-500k
pharmacist,healthcare,doctor of pharmacy|pharmacy license,1,pharmacy knowledge|patient counseling|drug interactions|attention to detail|communication|accuracy,110-160k
physical therapist,healthcare,doctor of physical therapy|pt license,1,physical therapy|patient assessment|exercise prescription|communication|anatomy knowledge|compassion,85-140k
occupational therapist,healthcare,master's in occupational therapy|ot license,1,occupational therapy|patient assessment|treatment planning|communication|problem solving|empathy,80-130k
medical technologist,healthcare,bachelor's in medical technology|certification,1,lab testing|quality control|analysis|attention to detail|equipment operation|accuracy,55-95k
healthcare administrator,healthcare,master's in healthcare administration,3,healthcare management|budget control|leadership|compliance|strategic planning|communication,85-150k
clinical lab scientist,healthcare,bachelor's in clinical laboratory science,1,laboratory analysis|quality control|equipment maintenance|data analysis|attention to detail|safety,60-110k
radiographer,healthcare,associate in radiography|radiography license,1,imaging technology|patient care|radiation safety|technical skills|communication|attention to detail,60-105k
dentist,healthcare,doctor of dental surgery|dental license,1,dental procedures|patient communication|diagnosis|attention to detail|compassion|clinical skills,150-200k
psychologist,healthcare,master's or phd in psychology,2,psychological assessment|counseling|research|patient communication|critical thinking|empathy,70-130k
psychiatrist,healthcare,medical degree|psychiatry residency|license,5,psychiatric diagnosis|treatment planning|patient communication|medical knowledge|problem solving|empathy,200-350k
graphic designer,creative & design,bachelor's in graphic design|design certification,1,design software|creativity|visual communication|adobe creative suite|branding|attention to detail,50-100k
ux designer,creative & design,bachelor's in design|ux certification,2,user research|wireframing|prototyping|usability testing|design thinking|communication,70-130k
ui designer,creative & design,bachelor's in design|ui certification,1,visual design|prototyping tools|design systems|ui principles|figma|creativity,65-120k
web designer,creative & design,bachelor's in design|web design certification,1,web design|html/css|design tools|user experience|responsive design|creativity,55-110k
video editor,creative & design,associate in film/video|certification,1,video editing software|storytelling|color grading|audio editing|creativity|attention to detail,50-100k
animator,creative & design,bachelor's in animation|animation certification,1,animation software|creativity|storytelling|drawing|timing|technical skills,55-110k
3d artist,creative & design,bachelor's in 3d art|certification,1,3d modeling|texturing|rendering|software skills|creativity|problem solving,55-110k
creative director,creative & design,bachelor's in design|master's in creative fields,5,creative vision|leadership|communication|design knowledge|strategic thinking|team management,90-160k
art director,creative & design,bachelor's in art|bachelor's in design,3,artistic direction|visual communication|team leadership|design principles|communication|creativity,70-130k
photographer,creative & design,associate in photography|portfolio,0,photography|editing software|lighting|composition|client service|creativity,40-90k
copywriter,creative & design,bachelor's in english|bachelor's in marketing,1,writing|creativity|seo knowledge|marketing|brand voice|research,50-95k
journalist,entertainment & media,bachelor's in journalism|bachelor's in communications,1,writing|reporting|research|communication|ethics|source development,45-80k
producer,entertainment & media,bachelor's in production|bachelor's in communications,2,production management|leadership|technical knowledge|problem solving|communication|creativity,60-120k
director,private sector management,bachelor's in business|master's in business,5,strategic planning|leadership|department management|budget control|decision making|communication,100-180k
writer,entertainment & media,bachelor's in creative writing|bachelor's in literature,0,writing|storytelling|research|creativity|communication|attention to detail,40-80k
editor,entertainment & media,bachelor's in english|bachelor's in journalism,2,content editing|writing|organization|attention to detail|communication|management,55-100k
sound engineer,entertainment & media,associate in audio engineering|certification,1,audio engineering|sound design|technical skills|equipment knowledge|problem solving|precision,50-100k
broadcast technician,entertainment & media,associate in broadcast technology,1,broadcasting|equipment operation|technical knowledge|troubleshooting|safety|attention to detail,45-85k
lawyer,legal services,juris doctor|bar license,1,legal knowledge|research|writing|negotiation|communication|ethics,80-200k
paralegal,legal services,bachelor's in paralegal studies|associate in law,1,legal research|document preparation|organization|communication|attention to detail|legal knowledge,50-90k
legal secretary,legal services,high school|legal secretary certification,0,legal knowledge|administrative skills|organization|communication|typing|attention to detail,40-70k
law clerk,legal services,juris doctor|law school graduate,0,legal research|writing|analysis|attention to detail|communication|problem solving,50-85k
judge,legal services,juris doctor|bar license|judicial appointment,10,legal expertise|decision making|ethics|fairness|communication|leadership,150-250k
corporate lawyer,legal services,juris doctor|bar license|corporate law specialization,3,corporate law|contract negotiation|research|writing|strategic thinking|communication,120-300k
patent attorney,legal services,juris doctor|patent bar license,3,patent law|technical knowledge|research|writing|communication|legal expertise,130-280k
tax attorney,legal services,juris doctor|bar license|tax law specialization,3,tax law|legal research|planning|writing|communication|analytical skills,110-250k
