job_role,skill
software engineer,python
software engineer,java
software engineer,c++
software engineer,git
software engineer,software design
software engineer,problem solving
full stack developer,javascript
full stack developer,react
full stack developer,node.js
full stack developer,html/css
full stack developer,database
full stack developer,git
frontend developer,javascript
frontend developer,react
frontend developer,vue.js
frontend developer,css
frontend developer,html
frontend developer,ui/ux design
backend developer,python
backend developer,java
backend developer,node.js
backend developer,database design
backend developer,api development
backend developer,sql
devops engineer,docker
devops engineer,kubernetes
devops engineer,aws
devops engineer,linux
devops engineer,ci/cd
devops engineer,scripting
cloud architect,aws
cloud architect,azure
cloud architect,gcp
cloud architect,system design
cloud architect,networking
cloud architect,security
data scientist,python
data scientist,machine learning
data scientist,statistics
data scientist,tensorflow
data scientist,sql
data scientist,data analysis
machine learning engineer,python
machine learning engineer,tensorflow
machine learning engineer,pytorch
machine learning engineer,deep learning
machine learning engineer,statistics
machine learning engineer,research
data engineer,python
data engineer,spark
data engineer,hadoop
data engineer,sql
data engineer,data warehousing
data engineer,etl
database administrator,sql
database administrator,mongodb
database administrator,database optimization
database administrator,linux
database administrator,backup recovery
database administrator,security
systems administrator,windows server
systems administrator,linux
systems administrator,networking
systems administrator,security
systems administrator,active directory
systems administrator,troubleshooting
network engineer,cisco
network engineer,networking
network engineer,tcp/ip
network engineer,security
network engineer,routing
network engineer,configuration
cybersecurity specialist,penetration testing
cybersecurity specialist,security protocols
cybersecurity specialist,networking
cybersecurity specialist,risk analysis
cybersecurity specialist,encryption
cybersecurity specialist,firewalls
security engineer,security architecture
security engineer,encryption
security engineer,networking
security engineer,linux
security engineer,risk management
security engineer,compliance
mobile developer android,java
mobile developer android,kotlin
mobile developer android,android sdk
mobile developer android,xml
mobile developer android,rest api
mobile developer android,mobile design
mobile developer ios,swift
mobile developer ios,objective-c
mobile developer ios,ios sdk
mobile developer ios,xcode
mobile developer ios,rest api
mobile developer ios,mobile design
game developer,unity
game developer,unreal engine
game developer,c#
game developer,c++
game developer,game physics
game developer,graphics programming
qa engineer,test automation
qa engineer,selenium
qa engineer,manual testing
qa engineer,bug tracking
qa engineer,sql
qa engineer,api testing
software architect,system design
software architect,architecture patterns
software architect,microservices
software architect,scalability
software architect,leadership
software architect,multiple languages
technical lead,leadership
technical lead,code review
technical lead,mentoring
technical lead,architecture
technical lead,problem solving
technical lead,communication
data analyst,sql
data analyst,python
data analyst,excel
data analyst,tableau
data analyst,data visualization
data analyst,statistical analysis
business analyst,requirements gathering
business analyst,sql
business analyst,excel
business analyst,process improvement
business analyst,documentation
business analyst,stakeholder communication
bi developer,power bi
bi developer,tableau
bi developer,sql
bi developer,etl
bi developer,database design
bi developer,data visualization
bi analyst,sql
bi analyst,tableau
bi analyst,power bi
bi analyst,excel
bi analyst,data analysis
bi analyst,reporting
analytics engineer,sql
analytics engineer,python
analytics engineer,dbt
analytics engineer,data modeling
analytics engineer,analytics
analytics engineer,cloud platforms
accountant,accounting principles
accountant,quickbooks
accountant,excel
accountant,financial analysis
accountant,tax knowledge
accountant,gaap
financial analyst,financial modeling
financial analyst,excel
financial analyst,python
financial analyst,statistics
financial analyst,valuation
financial analyst,risk analysis
investment banking analyst,financial modeling
investment banking analyst,valuation
investment banking analyst,excel
investment banking analyst,research
investment banking analyst,communication
investment banking analyst,m&a
audit manager,audit procedures
audit manager,internal controls
audit manager,risk assessment
audit manager,leadership
audit manager,compliance
audit manager,communication
tax specialist,tax law
tax specialist,tax planning
tax specialist,accounting
tax specialist,irs knowledge
tax specialist,software
tax specialist,compliance
controller,leadership
controller,financial reporting
controller,accounting
controller,fp&a
controller,risk management
controller,strategy
cfo,strategic leadership
cfo,financial strategy
cfo,risk management
cfo,board communication
cfo,m&a
cfo,investor relations
budget analyst,budget planning
budget analyst,forecasting
budget analyst,excel
budget analyst,financial analysis
budget analyst,communication
budget analyst,attention to detail
hr manager,recruitment
hr manager,employee relations
hr manager,compensation
hr manager,compliance
hr manager,leadership
hr manager,communication
talent acquisition specialist,recruitment
talent acquisition specialist,networking
talent acquisition specialist,interviewing
talent acquisition specialist,job posting
talent acquisition specialist,ats systems
talent acquisition specialist,communication
hr business partner,strategic hr
hr business partner,business acumen
hr business partner,employee relations
hr business partner,coaching
hr business partner,data analysis
hr business partner,leadership
training specialist,training program development
training specialist,presentation
training specialist,elearning
training specialist,assessment
training specialist,communication
training specialist,instructional design
learning & development manager,curriculum development
learning & development manager,leadership
learning & development manager,training design
learning & development manager,e-learning
learning & development manager,coaching
learning & development manager,project management
compensation & benefits manager,compensation strategy
compensation & benefits manager,benefits administration
compensation & benefits manager,excel
compensation & benefits manager,market analysis
compensation & benefits manager,compliance
compensation & benefits manager,communication
hr operations manager,hr systems
hr operations manager,process management
hr operations manager,compliance
hr operations manager,data analysis
hr operations manager,leadership
hr operations manager,problem solving
chief people officer,strategic leadership
chief people officer,organizational development
chief people officer,culture building
chief people officer,change management
chief people officer,executive communication
chief people officer,vision setting
marketing manager,campaign management
marketing manager,brand strategy
marketing manager,analytics
marketing manager,budget management
marketing manager,leadership
marketing manager,communication
digital marketing manager,seo
digital marketing manager,sem
digital marketing manager,social media
digital marketing manager,analytics
digital marketing manager,content strategy
digital marketing manager,email marketing
seo specialist,seo
seo specialist,keyword research
seo specialist,technical seo
seo specialist,analytics
seo specialist,content optimization
seo specialist,backlink strategy
content marketing manager,content strategy
content marketing manager,writing
content marketing manager,seo
content marketing manager,analytics
content marketing manager,project management
content marketing manager,research
social media manager,social media strategy
social media manager,content creation
social media manager,community management
social media manager,analytics
social media manager,copywriting
social media manager,platform knowledge
email marketing specialist,email campaign management
email marketing specialist,segmentation
email marketing specialist,a/b testing
email marketing specialist,analytics
email marketing specialist,copywriting
email marketing specialist,automation platforms
product manager,product strategy
product manager,market analysis
product manager,user research
product manager,data analysis
product manager,leadership
product manager,communication
product marketing manager,product strategy
product marketing manager,market research
product marketing manager,positioning
product marketing manager,messaging
product marketing manager,campaign management
product marketing manager,analytics
sales manager,sales strategy
sales manager,team leadership
sales manager,crm
sales manager,negotiation
sales manager,target setting
sales manager,communication
sales executive,selling
sales executive,negotiation
sales executive,client relationships
sales executive,crm
sales executive,product knowledge
sales executive,communication
account executive,account management
account executive,sales
account executive,relationship building
account executive,crm
account executive,negotiation
account executive,product knowledge
business development manager,business development strategy
business development manager,networking
business development manager,sales
business development manager,negotiation
business development manager,market analysis
business development manager,communication
marketing director,strategic marketing
marketing director,leadership
marketing director,budget management
marketing director,brand strategy
marketing director,analytics
marketing director,team management
chief marketing officer,strategic leadership
chief marketing officer,brand vision
chief marketing officer,executive communication
chief marketing officer,p&l management
chief marketing officer,market strategy
chief marketing officer,team leadership
cmo,strategic leadership
cmo,brand management
cmo,executive communication
cmo,market intelligence
cmo,digital transformation
cmo,vision
operations manager,process management
operations manager,efficiency optimization
operations manager,leadership
operations manager,quality control
operations manager,project management
operations manager,data analysis
supply chain manager,supply chain strategy
supply chain manager,procurement
supply chain manager,vendor management
supply chain manager,forecasting
supply chain manager,inventory management
supply chain manager,analytics
logistics manager,logistics planning
logistics manager,distribution
logistics manager,fleet management
logistics manager,cost optimization
logistics manager,supplier management
logistics manager,software
warehouse manager,warehouse management
warehouse manager,inventory control
warehouse manager,staff management
warehouse manager,safety
warehouse manager,organization
warehouse manager,problem solving
quality assurance manager,quality management
quality assurance manager,process improvement
quality assurance manager,statistical analysis
quality assurance manager,compliance
quality assurance manager,leadership
quality assurance manager,problem solving
process improvement manager,lean manufacturing
process improvement manager,six sigma
process improvement manager,process analysis
process improvement manager,data analysis
process improvement manager,leadership
process improvement manager,change management
procurement manager,procurement strategy
procurement manager,vendor management
procurement manager,negotiation
procurement manager,cost analysis
procurement manager,compliance
procurement manager,strategic sourcing
demand planner,demand forecasting
demand planner,statistical analysis
demand planner,erp systems
demand planner,supply planning
demand planner,data analysis
demand planner,excel
production manager,production planning
production manager,staff management
